,Company,Category,Sub-Category,Acquired/IPO,Exit Year,Data Driven / Hardwired Video
0,Amazon QuickSight,Analytics,BI Platforms,,,
1,AtScale,Analytics,BI Platforms,,,
2,Bime Analytics,Analytics,BI Platforms,Acquired by Zendesk in October 2015,2015,
3,Birst,Analytics,BI Platforms,Acquired by Infor in April 2017,2017,
4,Domo,Analytics,BI Platforms,IPO in June 2018,2018,
5,GoodData,Analytics,BI Platforms,,,
6,Information Builders,Analytics,BI Platforms,,,
7,Jaspersoft,Analytics,BI Platforms,Acquired by Tibco in April 2014,2014,
8,Kyvos Insights,Analytics,BI Platforms,,,
9,Microstrategy,Analytics,BI Platforms,,,
10,Platfora,Analytics,BI Platforms,Acquired by Workday in July 2016,2016,Video
11,Qlik,Analytics,BI Platforms,Acquired by Thoma Bravo in August 2016,2016,Video
12,Salesforce Einstein Analytics,Analytics,BI Platforms,,,
13,Sisense,Analytics,BI Platforms,,,Video
14,ThoughtSpot,Analytics,BI Platforms,,,
15,20BN,Analytics,Computer Vision,,,
16,Aibee,Analytics,Computer Vision,,,
17,Amazon Rekognition,Analytics,Computer Vision,,,
18,Clarifai,Analytics,Computer Vision,,,Video
19,Cloudwalk,Analytics,Computer Vision,,,
20,DataGrid,Analytics,Computer Vision,,,
21,Deepomatic,Analytics,Computer Vision,,,
22,Ever AI,Analytics,Computer Vision,,,
23,Face++,Analytics,Computer Vision,,,
24,Google Cloud Vision,Analytics,Computer Vision,,,
25,Microsoft Azure,Analytics,Computer Vision,,,
26,Neurala,Analytics,Computer Vision,,,
27,Onfido,Analytics,Computer Vision,,,
28,Scape,Analytics,Computer Vision,,,
29,SenseTime,Analytics,Computer Vision,,,
30,Synthesia,Analytics,Computer Vision,,,
31,Trax,Analytics,Computer Vision,,,
32,Ubiquity6,Analytics,Computer Vision,,,
33,YITU Technology,Analytics,Computer Vision,,,
34,Alteryx,Analytics,Data Analyst Platforms,,,
35,Anodot,Analytics,Data Analyst Platforms,,,
36,Arimo,Analytics,Data Analyst Platforms,Acquired by Panasonic in October 2017,2017,Video
37,Ascend.io,Analytics,Data Analyst Platforms,,,
38,Attivio,Analytics,Data Analyst Platforms,,,
39,Automated Insights,Analytics,Data Analyst Platforms,Acquired by Vista Equity Partners/STATS in February 2015,2015,Video
40,Ayasdi,Analytics,Data Analyst Platforms,,,Video
41,Blockspring,Analytics,Data Analyst Platforms,Acquired by Coinbase in January 2019,2019,
42,Bottlenose,Analytics,Data Analyst Platforms,,,
43,Cirro,Analytics,Data Analyst Platforms,,,
44,ClearStory Data,Analytics,Data Analyst Platforms,Acquired by Alteryx in April 2019,2019,Video
45,Connotate,Analytics,Data Analyst Platforms,Acquired by import.io in February 2019,2019,
46,Datameer,Analytics,Data Analyst Platforms,,,Video
47,Dataspora,Analytics,Data Analyst Platforms,Acquired by Via Science in 2011,2011,
48,Digital Reasoning,Analytics,Data Analyst Platforms,,,
49,Endor,Analytics,Data Analyst Platforms,,,Video
50,Glassbeam,Analytics,Data Analyst Platforms,,,
51,Guavus,Analytics,Data Analyst Platforms,Acquired by Thales in April 2017,2017,
52,Incorta,Analytics,Data Analyst Platforms,,,
53,Interana,Analytics,Data Analyst Platforms,,,Video
54,Karmasphere,Analytics,Data Analyst Platforms,Acquired by FICO in April 2014,2014,
55,Kimono Labs,Analytics,Data Analyst Platforms,Acquired by Palantir in February 2016,2016,
56,Lavastorm,Analytics,Data Analyst Platforms,Acquired by Infogix in March 2018,2018,
57,Luminoso,Analytics,Data Analyst Platforms,,,
58,Microsoft Analytics Platform,Analytics,Data Analyst Platforms,,,
59,Mode Analytics,Analytics,Data Analyst Platforms,,,#REF!
60,Narrator,Analytics,Data Analyst Platforms,,,
61,Origami Logic,Analytics,Data Analyst Platforms,Acquired by Intuit in May 2019,2019,
62,Outlier.ai,Analytics,Data Analyst Platforms,,,
63,Pentaho,Analytics,Data Analyst Platforms,Acquired by Hitachi in February 2015,2015,
64,Pervasive,Analytics,Data Analyst Platforms,Acquired by Actian in January 2013,2013,
65,Precog,Analytics,Data Analyst Platforms,Acquired by RichRelevance in August 2013,2013,Video
66,Quantcell Research,Analytics,Data Analyst Platforms,,,
67,Semantria,Analytics,Data Analyst Platforms,Acquired by Lexalytics in July 2014,2014,
68,Sisu Data,Analytics,Data Analyst Platforms,,,
69,Sisu Data,Analytics,Data Analyst Platforms,,,
70,Starburst,Analytics,Data Analyst Platforms,,,
71,Statwing,Analytics,Data Analyst Platforms,Acquired by Qualtrics in May 2016,2016,
72,Switchboard,Analytics,Data Analyst Platforms,,,
73,TempoIQ,Analytics,Data Analyst Platforms,Acquired by Avant in August 2016,2016,
74,Treparel,Analytics,Data Analyst Platforms,Acquired by Evalueserve in May 2015,2015,
75,Amazon Sagemaker Studio,Analytics,Data Science Notebooks,,,
76,Azure Notebooks,Analytics,Data Science Notebooks,,,
77,Binder,Analytics,Data Science Notebooks,,,
78,CoCalc,Analytics,Data Science Notebooks,,,
79,Colab,Analytics,Data Science Notebooks,,,
80,Count,Analytics,Data Science Notebooks,,,
81,Deepnote,Analytics,Data Science Notebooks,,,
82,Google DataLab,Analytics,Data Science Notebooks,,,
83,Jupyter,Analytics,Data Science Notebooks,,,
84,Nextjounal,Analytics,Data Science Notebooks,,,
85,Saturn Cloud,Analytics,Data Science Notebooks,,,
86,Alpine Data Labs,Analytics,Data Science Platforms,Acquired by TIBCO in November 2017,2017,
87,Anaconda (fka Continuum Analytics),Analytics,Data Science Platforms,,,Video
88,Angoss,Analytics,Data Science Platforms,Acquired by Datawatch in January 2018,2018,
89,Civis Analytics,Analytics,Data Science Platforms,,,
90,Databricks,Analytics,Data Science Platforms,,,
91,Dataiku,Analytics,Data Science Platforms,,,Video
92,Datawatch,Analytics,Data Science Platforms,Acquired by Altair in November 2018,2018,
93,Domino Data Lab,Analytics,Data Science Platforms,,,Video
94,IBM,Analytics,Data Science Platforms,,,
95,Indico,Analytics,Data Science Platforms,,,
96,Knime,Analytics,Data Science Platforms,,,
97,Mathworks,Analytics,Data Science Platforms,,,
98,Mortar,Analytics,Data Science Platforms,Acquired by Datadog in February 2015,2015,Video
99,Prevision,Analytics,Data Science Platforms,,,
100,RapidMiner,Analytics,Data Science Platforms,,,
